lokacija,sobno,nadstropje,leto,velikost,cena
IZOLA,2-sobno,2,2022,"77,09 ","350.000,00 &euro;<span class=""cena-old"">383.250,00"
IZOLA,"2,5-sobno",2,1989,"79,90 ","199.000,00"
IZOLA,3-sobno,P,2022,"82,37 ","298.000,00 &euro;<span class=""cena-old"">377.905,00"
IZOLA,"3,5-sobno",P,2007,"87,80 ","345.000,00"
IZOLA,2-sobno,1,2022,"104,43 ","362.000,00 &euro;<span class=""cena-old"">391.433,00"
IZOLA,4-sobno,P,2021,"112,00 ","477.000,00"
IZOLA,4-sobno,2,1999,"150,00 ","600.000,00"
IZOLA,5 in večsobno,2,2009,"154,00 ","600.000,00"
IZOLA,Drugo,2,2009,"154,80 ","597.000,00"
IZOLA,Drugo,3,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","600.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,P,1977,"160,70 ","550.000,00"
IZOLA,5 in večsobno,1,2014,"206,50 ","620.000,00"
"IZOLA, 100M DO PLAŽE SVETILNIK",4-sobno,1,1789,"62,60 ","220.000,00"
"IZOLA, 3S+MANSARDA",4-sobno,2,1900,"73,00 ","220.000,00"
"IZOLA, CENTER",4-sobno,2,1900,"134,00 ","220.000,00"
"IZOLA, LIVADE",2-sobno,2,2016,"86,00 ","310.000,00"
"IZOLA, LIVADE",5 in večsobno,1,2014,"206,50 ","620.000,00 &euro;<span class=""cena-old"">660.000,00"
"IZOLA, ODLIČNA LOKACIJA. IZJEMNA PRILOŽNOST INVESTICIJE V ST...","4,5-sobno",P,1969,"90,90 ","259.000,00"
JAGODJE,4-sobno,VP,1985,"104,60 ","352.000,00"
"PORTOROŽ, VALETA",2-sobno,P,2002,"67,00 ","430.000,00"
ANKARAN,3-sobno,5,1987,"70,00 ","280.000,00"
ANKARAN,3-sobno,5,1987,"70,00 ","280.000,00"
ANKARAN,3-sobno,5,1987,"73,30 ","259.000,00"
ANKARAN,3-sobno,4,1987,"76,00 ","249.000,00"
ANKARAN,4-sobno,1,1910,"130,00 ","230.000,00"
ČEŽARJI,5 in večsobno,P,1993,"308,20 ","490.000,00"
DRAGONJA,4-sobno,1,1993,"206,60 ","418.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
HRPELJE,1-sobno,4,1981,"45,80 ","104.000,00"
HRPELJE,"2,5-sobno",P,2011,"59,60 ","179.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","233.000,00"
"HRVATINI, POGLED NA MORJE","4,5-sobno",2,1920,"179,70 ","350.000,00"
IZOLA,2-sobno,1,2022,"42,18 ","181.000,00 &euro;<span class=""cena-old"">199.122,00"
IZOLA,2-sobno,2,1980,"69,00 ","310.000,00"
IZOLA,2-sobno,M,2022,"69,73 ","269.000,00 &euro;<span class=""cena-old"">296.722,00"
IZOLA,2-sobno,2,2022,"77,09 ","350.000,00 &euro;<span class=""cena-old"">383.250,00"
"PORTOROŽ, VALETA",2-sobno,P,2002,"67,00 ","430.000,00"
ANKARAN,3-sobno,5,1987,"70,00 ","280.000,00"
ANKARAN,3-sobno,5,1987,"70,00 ","280.000,00"
ANKARAN,3-sobno,5,1987,"73,30 ","259.000,00"
ANKARAN,3-sobno,4,1987,"76,00 ","249.000,00"
ANKARAN,4-sobno,1,1910,"130,00 ","230.000,00"
ČEŽARJI,5 in večsobno,P,1993,"308,20 ","490.000,00"
DRAGONJA,4-sobno,1,1993,"206,60 ","418.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
HRPELJE,1-sobno,4,1981,"45,80 ","104.000,00"
HRPELJE,"2,5-sobno",P,2011,"59,60 ","179.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","233.000,00"
"HRVATINI, POGLED NA MORJE","4,5-sobno",2,1920,"179,70 ","350.000,00"
IZOLA,2-sobno,1,2022,"42,18 ","181.000,00 &euro;<span class=""cena-old"">199.122,00"
IZOLA,2-sobno,2,1980,"69,00 ","310.000,00"
IZOLA,2-sobno,M,2022,"69,73 ","269.000,00 &euro;<span class=""cena-old"">296.722,00"
IZOLA,2-sobno,2,2022,"77,09 ","350.000,00 &euro;<span class=""cena-old"">383.250,00"
IZOLA,"2,5-sobno",2,1989,"79,90 ","199.000,00"
IZOLA,3-sobno,P,2022,"82,37 ","298.000,00 &euro;<span class=""cena-old"">377.905,00"
IZOLA,"3,5-sobno",P,2007,"87,80 ","345.000,00"
IZOLA,2-sobno,1,2022,"104,43 ","362.000,00 &euro;<span class=""cena-old"">391.433,00"
IZOLA,4-sobno,P,2021,"112,00 ","477.000,00"
IZOLA,4-sobno,2,1999,"150,00 ","600.000,00"
IZOLA,5 in večsobno,2,2009,"154,00 ","600.000,00"
IZOLA,Drugo,2,2009,"154,80 ","597.000,00"
IZOLA,Drugo,3,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","600.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,P,1977,"160,70 ","550.000,00"
IZOLA,5 in večsobno,1,2014,"206,50 ","620.000,00"
"IZOLA, 100M DO PLAŽE SVETILNIK",4-sobno,1,1789,"62,60 ","220.000,00"
