lokacija,sobno,nadstropje,leto,velikost,cena
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
"DOMŽALE, CENTER",Garsonjera,4,1961,"32,90 ","99.000,00"
"DOMŽALE, CENTER","1,5-sobno",P,1905,"52,90 ","119.900,00"
"DOMŽALE, PARKIRNO MESTO, TERASA",2-sobno,VP,2007,"49,00 ","174.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","249.000,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
"DOMŽALE, CENTER",Garsonjera,4,1961,"32,90 ","99.000,00"
"DOMŽALE, CENTER","1,5-sobno",P,1905,"52,90 ","119.900,00"
"DOMŽALE, PARKIRNO MESTO, TERASA",2-sobno,VP,2007,"49,00 ","174.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","249.000,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
DRAGOMELJ,2-sobno,M,2006,"64,50 ","188.000,00"
DRAGOMELJ,"2,5-sobno",M,2003,"71,90 ","152.000,00"
DRENOV GRIČ,"3,5-sobno",1,2015,"71,00 ","145.000,00"
GORIČANE,3-sobno,P,1898,"51,00 ","147.000,00"
GROSUPLJE,2-sobno,4,1983,"58,00 ","175.000,00"
GROSUPLJE,4-sobno,P,2006,"97,90 ","295.000,00"
GROSUPLJE,3-sobno,2,1909,"105,60 ","245.000,00"
GROSUPLJE,3-sobno,2,1910,"105,60 ","264.000,00"
GROSUPLJE,"3,5-sobno",2,1909,"105,60 ","264.000,00"
GROSUPLJE,3-sobno,2,1910,"115,00 ","245.000,00"
GROSUPLJE,3-sobno,2,1909,"115,00 ","245.000,00"
GROSUPLJE,5 in večsobno,3,2006,"190,41 ","380.000,00"
"GROSUPLJE, ATRIJ",Garsonjera,P,2006,"29,40 ","139.000,00"
"GROSUPLJE, BREZJE PRI GROSUPLJEM","3,5-sobno",P,2006,"129,30 ","319.000,00"
"GROSUPLJE, SLOMSKOVA ULICA",3-sobno,1,2007,"93,00 ","294.000,00"
"GROSUPLJE, SLOMŠKOVA UL. 1",4-sobno,P,2006,"93,00 ","295.000,00"
"GROSUPLJE, SLOMŠKOVA ULICA","3,5-sobno",P,2006,"104,00 ","295.000,00"
HRAŠE,3-sobno,2,1964,"49,30 ","141.000,00"
"IG, SULČJA ULICA",4-sobno,1,2004,"102,00 ","160.000,00"
IHAN,"3,5-sobno",P,1989,"83,00 ","149.990,00"
IVANČNA GORICA,2-sobno,2,2008,"45,00 ","139.000,00 &euro;<span class=""cena-old"">143.000,00"
IVANČNA GORICA,2-sobno,2,2005,"45,80 ","146.000,00"
IVANČNA GORICA,4-sobno,4,2008,"81,00 ","220.000,00"
IVANČNA GORICA,3-sobno,P,2022,"82,60 ","229.000,00"
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
"DOMŽALE, CENTER",Garsonjera,4,1961,"32,90 ","99.000,00"
"DOMŽALE, CENTER","1,5-sobno",P,1905,"52,90 ","119.900,00"
"DOMŽALE, PARKIRNO MESTO, TERASA",2-sobno,VP,2007,"49,00 ","174.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","249.000,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
