lokacija,sobno,nadstropje,leto,velikost,cena
"IZOLA, ODLIČNA LOKACIJA. IZJEMNA PRILOŽNOST INVESTICIJE V ST...","4,5-sobno",P,1969,"90,90 ","259.000,00"
"IZOLA, ODLIČNI LOKACIJI OB PARKU PINEA",5 in večsobno,VP,2010,"203,10 ","530.000,00"
"IZOLA, PRITLIČJE",3-sobno,P,1983,"63,00 ","258.000,00"
"IZOLA, TPC LIVADE",3-sobno,1,2010,"125,30 ","474.000,00"
"IZOLA, TPC LIVADE",3-sobno,1,2010,"125,30 ","474.000,00"
JAGODJE,4-sobno,VP,1985,"104,60 ","352.000,00"
"JAGODJE, IZOLA",4-sobno,P,1977,"160,70 ","550.000,00"
"JAGODJE, IZOLA",4-sobno,1,1977,"210,00 ","350.000,00"
"KAMPEL, GUCI",4-sobno,1,2007,"89,00 ","179.000,00"
KOLOMBAN,4-sobno,1,2011,"119,30 ","288.000,00"
KOMEN,"4,5-sobno",VP,1912,"130,90 ","120.000,00"
KOMEN,3-sobno,1,1912,"132,10 ","102.000,00"
KOPER,Garsonjera,2,2000,"16,00 ","95.000,00"
KOPER,2-sobno,M,2009,"34,41 ","160.000,00"
KOPER,"2,5-sobno",1,1900,"44,00 ","145.000,00"
KOPER,2-sobno,3,1800,"49,70 ","129.000,00"
KOPER,"2,5-sobno",3,1974,"65,00 ","215.000,00"
KOPER,"2,5-sobno",2,1985,"75,60 ","220.000,00"
KOPER,4-sobno,1,1982,"78,00 ","275.000,00"
KOPER,4-sobno,2,2014,"87,00 ","215.000,00"
KOPER,4-sobno,VP,1987,"87,50 ","315.000,00"
KOPER,4-sobno,VP,1984,"87,50 ","315.000,00"
KOPER,4-sobno,P,1991,"102,50 ","349.000,00"
KOPER,2-sobno,3,2011,"106,00 ","440.000,00"
KOPER,2-sobno,3,2011,"106,40 ","440.000,00"
KOPER,2-sobno,2,2011,"122,10 ","480.000,00"
KOPER,4-sobno,1,1900,"126,00 ","370.000,00"
KOPER,4-sobno,1,1900,"126,00 ","370.000,00"
"KOPER, CENTER",1-sobno,P,1850,"30,00 ","139.990,00"
"KOPER, CENTER",3-sobno,2,1911,"64,50 ","290.000,00"
"KOPER, CENTER KOPRA",Drugo,P,1994,"64,40 ","165.000,00"
"KOPER, FERRARSKA ULICA",3-sobno,1,1998,"74,40 ","299.000,00"
"KOPER, MARKOVEC","2,5-sobno",1,1986,"76,00 ","220.000,00"
"KOPER, MARKOVEC, POGLED NA MORJE",4-sobno,1,1984,"87,00 ","315.000,00"
"KOPER, MODRI GAJ",3-sobno,P,2007,"64,60 ","280.000,00"
"KOPER, NOKTURNO",4-sobno,VP,2010,"114,93 ","429.000,00"
"KOPER, NOVO, CENTER",1-sobno,P,2021,"25,00 ","126.000,00"
"KOPER, OLMO",4-sobno,2,2006,"122,30 ","439.000,00"
"KOPER, PRIJETNO, SVETLO 4 - SOBNO STANOVANJE S PARKIRNIM PRO...","2,5-sobno",1,1982,"78,90 ","275.000,00"
"KOPER, PRISOJE",4-sobno,1,1982,"79,60 ","275.000,00"
"KOPER, SPODNJA SEMEDELA",3-sobno,VP,1961,"88,30 ","259.000,00"
"KOPER, SPODNJA SEMEDELA",3-sobno,P,1961,"88,30 ","259.000,00"
"KOPER, SPODNJA SEMEDELA",3-sobno,P,1956,"91,20 ","215.000,00"
"KOPER, ZELENI PARK II",2-sobno,3,2011,"56,00 ","440.000,00"
"KOPER, ŽUSTERNA",4-sobno,1,1973,"167,70 ","413.000,00"
"KOPER, ŽUSTERNA",4-sobno,P,1973,"178,80 ","413.000,00"
"KOPER, ŽUSTERNA, 100M OD MORJA",4-sobno,1,1966,"122,00 ","500.000,00"
"KORTE, POGLED NA SOLINE, PRILOŽNOST","3,5-sobno",M,1985,"101,00 ","239.000,00"
KOZINA,4-sobno,3,2021,"116,13 ","218.325,26"
KOZINA,4-sobno,3,2021,"118,97 ","227.400,84"
KOZINA,"4,5-sobno",3,2021,"131,55 ","259.389,81"
LUCIJA,2-sobno,1,1987,"42,10 ","265.000,00"
LUCIJA,3-sobno,2,1988,"59,00 ","235.000,00"
LUCIJA,"2,5-sobno",1,1980,"67,10 ","209.000,00"
LUCIJA,2-sobno,1,2005,"68,80 ","290.000,00"
LUCIJA,3-sobno,3,2006,"69,70 ","325.000,00"
"PORTOROŽ, KAMPOLIN",3-sobno,2,2006,"125,30 ","440.000,00"
"PORTOROŽ, VALETA",2-sobno,P,2002,"67,00 ","430.000,00"
"ANKARAN, CENTER",3-sobno,P,1976,"98,00 ","345.000,00"
ČEŽARJI,Garsonjera,P,1900,"15,40 ","52.900,00"
DIVAČA,4-sobno,3,2000,"99,60 ","150.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
GAŽON,3-sobno,P,1997,"83,00 ","192.000,00"
HRPELJE,"2,5-sobno",P,2014,"73,00 ","145.000,00"
HRPELJE,2-sobno,P,2014,"73,00 ","145.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","239.000,00"
"HRVATINI, POGLED NA MORJE","4,5-sobno",2,1920,"179,70 ","350.000,00"
IZOLA,2-sobno,2,1891,"49,34 ","162.822,00"
IZOLA,3-sobno,2,2009,"53,00 ","219.000,00"
IZOLA,2-sobno,P,2013,"61,00 ","260.000,00"
IZOLA,3-sobno,2,1989,"79,90 ","185.000,00"
IZOLA,4-sobno,2,1890,"91,00 ","320.000,00"
IZOLA,3-sobno,VP,2014,"100,40 ","380.000,00"
IZOLA,4-sobno,3,2013,"102,40 ","343.000,00"
IZOLA,4-sobno,1,1992,"107,00 ","295.000,00"
IZOLA,4-sobno,1,1992,"107,40 ","295.000,00"
"PORTOROŽ, KAMPOLIN",3-sobno,2,2006,"125,30 ","440.000,00"
"PORTOROŽ, VALETA",2-sobno,P,2002,"67,00 ","430.000,00"
"ANKARAN, CENTER",3-sobno,P,1976,"98,00 ","345.000,00"
ČEŽARJI,Garsonjera,P,1900,"15,40 ","52.900,00"
DIVAČA,4-sobno,3,2000,"99,60 ","150.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
GAŽON,3-sobno,P,1997,"83,00 ","192.000,00"
HRPELJE,"2,5-sobno",P,2014,"73,00 ","145.000,00"
HRPELJE,2-sobno,P,2014,"73,00 ","145.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","239.000,00"
"HRVATINI, POGLED NA MORJE","4,5-sobno",2,1920,"179,70 ","350.000,00"
IZOLA,2-sobno,2,1891,"49,34 ","162.822,00"
IZOLA,3-sobno,2,2009,"53,00 ","219.000,00"
IZOLA,2-sobno,P,2013,"61,00 ","260.000,00"
IZOLA,3-sobno,2,1989,"79,90 ","185.000,00"
IZOLA,4-sobno,2,1890,"91,00 ","320.000,00"
IZOLA,3-sobno,VP,2014,"100,40 ","380.000,00"
IZOLA,4-sobno,3,2013,"102,40 ","343.000,00"
IZOLA,4-sobno,1,1992,"107,00 ","295.000,00"
IZOLA,4-sobno,1,1992,"107,40 ","295.000,00"
IZOLA,3-sobno,1,2009,"123,00 ","474.000,00"
IZOLA,Drugo,3,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","600.000,00"
IZOLA,5 in večsobno,2,2008,"154,80 ","597.000,00"
IZOLA,5 in večsobno,P,1977,"160,70 ","550.000,00"
IZOLA,5 in večsobno,1,2010,"203,00 ","530.000,00"
IZOLA,3-sobno,P,2006,"227,00 ","497.000,00"
IZOLA,3-sobno,P,2007,"227,00 ","495.000,00"
"IZOLA, 3S+MANSARDA",4-sobno,2,1900,"73,00 ","209.000,00"
"IZOLA, CENTER",4-sobno,2,1890,"91,30 ","320.000,00"
"IZOLA, CENTER",4-sobno,2,1900,"134,00 ","209.000,00"
"IZOLA, LIVADE",3-sobno,1,2009,"125,30 ","474.000,00"
"IZOLA, NAZORJEVA ULICA",4-sobno,1,1973,"93,60 ","354.000,00"
"IZOLA, ODLIČNA LOKACIJA. IZJEMNA PRILOŽNOST INVESTICIJE V ST...","4,5-sobno",P,1969,"90,90 ","259.000,00"
"IZOLA, ODLIČNI LOKACIJI OB PARKU PINEA",5 in večsobno,VP,2010,"203,10 ","530.000,00"
"IZOLA, PRITLIČJE",3-sobno,P,1983,"63,00 ","258.000,00"
"IZOLA, TPC LIVADE",3-sobno,1,2010,"125,30 ","474.000,00"
"IZOLA, TPC LIVADE",3-sobno,1,2010,"125,30 ","474.000,00"
JAGODJE,4-sobno,VP,1985,"104,60 ","352.000,00"
"JAGODJE, IZOLA",4-sobno,P,1977,"160,70 ","550.000,00"
"JAGODJE, IZOLA",4-sobno,1,1977,"210,00 ","350.000,00"
"KAMPEL, GUCI",4-sobno,1,2007,"89,00 ","179.000,00"
KOLOMBAN,4-sobno,1,2011,"119,30 ","288.000,00"
KOMEN,"4,5-sobno",VP,1912,"130,90 ","120.000,00"
KOMEN,3-sobno,1,1912,"132,10 ","102.000,00"
KOPER,Garsonjera,2,2000,"16,00 ","95.000,00"
KOPER,2-sobno,M,2009,"34,41 ","160.000,00"
KOPER,"2,5-sobno",1,1900,"44,00 ","145.000,00"
KOPER,2-sobno,3,1800,"49,70 ","129.000,00"
KOPER,"2,5-sobno",3,1974,"65,00 ","215.000,00"
