lokacija,sobno,nadstropje,leto,velikost,cena
BENEDIKT,2-sobno,M,2008,"68,44 ","79.000,00"
BETNAVA,"2,5-sobno",7,2010,"69,00 ","175.000,00"
BETNAVA,3-sobno,5,2000,"102,10 ","149.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
"BETNAVA, MARIBOR","3,5-sobno",P,2010,"123,00 ","290.000,00"
BOROVA VAS,2-sobno,6,1989,"55,60 ","125.000,00"
BREZJE,1-sobno,P,2006,"41,20 ","104.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","78.000,00"
GRADIŠKA,4-sobno,3,2021,"136,60 ","217.036,00"
KAMNICA,Garsonjera,VP,1939,"51,00 ","44.900,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
KIDRIČEVO,3-sobno,VP,1954,"105,40 ","110.000,00"
KOROŠKA VRATA,2-sobno,P,1958,"59,00 ","119.000,00"
KOROŠKA VRATA,"2,5-sobno",3,1963,"63,70 ","149.000,00"
KOROŠKA VRATA,2-sobno,2,1960,"64,00 ","118.000,00"
KOROŠKA VRATA,"2,5-sobno",2,1976,"73,45 ","178.600,00"
KOROŠKA VRATA,3-sobno,4,1976,"74,00 ","129.900,00"
KOROŠKA VRATA,3-sobno,1,1965,"74,20 ","129.000,00"
KOROŠKA VRATA,3-sobno,3,2001,"78,00 ","159.500,00"
KOROŠKA VRATA,4-sobno,VP,1926,"89,50 ","195.000,00"
KOROŠKA VRATA,4-sobno,VP,1926,"89,50 ","195.000,00"
KOROŠKA VRATA,3-sobno,8,1978,"97,00 ","230.000,00"
KOROŠKA VRATA,3-sobno,2,1949,"99,30 ","154.000,00"
KOROŠKA VRATA,3-sobno,2,1956,"145,00 ","160.000,00"
KOROŠKA VRATA,5 in večsobno,6,2007,"193,20 ","326.000,00"
"KOROŠKA VRATA, KOROŠKI VETER","3,5-sobno",4,2007,"82,70 ","178.000,00"
KOŠAKI,4-sobno,2,2022,"113,10 ","227.900,00"
KOŠAKI,4-sobno,2,2022,"113,20 ","227.900,00"
KOŠAKI,4-sobno,K+P+1,2021,"261,00 ","224.475,00"
KREMBERK,4-sobno,3,2008,"80,50 ","89.900,00"
LENART V SLOVENSKIH GORICAH,2-sobno,1,1830,"58,83 ","119.900,00"
LENART V SLOVENSKIH GORICAH,2-sobno,1,2015,"60,00 ","115.000,00"
LENART V SLOVENSKIH GORICAH,"2,5-sobno",P,1983,"77,90 ","85.690,00"
LENART V SLOVENSKIH GORICAH,3-sobno,3,2021,"89,50 ","141.829,88"
LENART V SLOVENSKIH GORICAH,4-sobno,3,2021,"105,47 ","162.401,00"
LENART V SLOVENSKIH GORICAH,"4,5-sobno",4,2021,"157,61 ","222.479,91"
"BETNAVA, OB BETNAVSKEM GOZDU",3-sobno,4,2008,"88,10 ","217.000,00"
KOŠAKI,4-sobno,1,2021,"103,00 ","198.900,00"
"LENART V SLOVENSKIH GORICAH, IZJEMNO SONČNO IN SVETLO",4-sobno,3,2014,"114,10 ","197.500,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"77,37 ","215.538,71"
"POBREŽJE, GREENWICH",2-sobno,4,1960,"53,50 ","92.900,00"
"TABOR, PENTHOUSE",5 in večsobno,5,2021,"560,00 ","1.000.000,00"
ZGORNJE RADVANJE,"4,5-sobno",3,2002,"270,20 ","380.000,00"
BENEDIKT,2-sobno,M,2008,"68,44 ","79.000,00"
BETNAVA,"2,5-sobno",7,2010,"69,00 ","175.000,00"
BETNAVA,3-sobno,5,2000,"102,10 ","149.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
"BETNAVA, MARIBOR","3,5-sobno",P,2010,"123,00 ","290.000,00"
BOROVA VAS,2-sobno,6,1989,"55,60 ","125.000,00"
BREZJE,1-sobno,P,2006,"41,20 ","104.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","78.000,00"
GRADIŠKA,4-sobno,3,2021,"136,60 ","217.036,00"
KAMNICA,Garsonjera,VP,1939,"51,00 ","44.900,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"BETNAVA, OB BETNAVSKEM GOZDU",3-sobno,4,2008,"88,10 ","217.000,00"
KOŠAKI,4-sobno,1,2021,"103,00 ","198.900,00"
"LENART V SLOVENSKIH GORICAH, IZJEMNO SONČNO IN SVETLO",4-sobno,3,2014,"114,10 ","197.500,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"77,37 ","215.538,71"
"POBREŽJE, GREENWICH",2-sobno,4,1960,"53,50 ","92.900,00"
"TABOR, PENTHOUSE",5 in večsobno,5,2021,"560,00 ","1.000.000,00"
ZGORNJE RADVANJE,"4,5-sobno",3,2002,"270,20 ","380.000,00"
BENEDIKT,2-sobno,M,2008,"68,44 ","79.000,00"
BETNAVA,"2,5-sobno",7,2010,"69,00 ","175.000,00"
BETNAVA,3-sobno,5,2000,"102,10 ","149.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
"BETNAVA, MARIBOR","3,5-sobno",P,2010,"123,00 ","290.000,00"
BOROVA VAS,2-sobno,6,1989,"55,60 ","125.000,00"
BREZJE,1-sobno,P,2006,"41,20 ","104.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","78.000,00"
GRADIŠKA,4-sobno,3,2021,"136,60 ","217.036,00"
KAMNICA,Garsonjera,VP,1939,"51,00 ","44.900,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
KIDRIČEVO,3-sobno,VP,1954,"105,40 ","110.000,00"
KOROŠKA VRATA,2-sobno,P,1958,"59,00 ","119.000,00"
KOROŠKA VRATA,"2,5-sobno",3,1963,"63,70 ","149.000,00"
KOROŠKA VRATA,2-sobno,2,1960,"64,00 ","118.000,00"
KOROŠKA VRATA,"2,5-sobno",2,1976,"73,45 ","178.600,00"
KOROŠKA VRATA,3-sobno,4,1976,"74,00 ","129.900,00"
KOROŠKA VRATA,3-sobno,1,1965,"74,20 ","129.000,00"
KOROŠKA VRATA,3-sobno,3,2001,"78,00 ","159.500,00"
KOROŠKA VRATA,4-sobno,VP,1926,"89,50 ","195.000,00"
KOROŠKA VRATA,4-sobno,VP,1926,"89,50 ","195.000,00"
KOROŠKA VRATA,3-sobno,8,1978,"97,00 ","230.000,00"
KOROŠKA VRATA,3-sobno,2,1949,"99,30 ","154.000,00"
KOROŠKA VRATA,3-sobno,2,1956,"145,00 ","160.000,00"
KOROŠKA VRATA,5 in večsobno,6,2007,"193,20 ","326.000,00"
"KOROŠKA VRATA, KOROŠKI VETER","3,5-sobno",4,2007,"82,70 ","178.000,00"
KOŠAKI,4-sobno,2,2022,"113,10 ","227.900,00"
KOŠAKI,4-sobno,2,2022,"113,20 ","227.900,00"
KOŠAKI,4-sobno,K+P+1,2021,"261,00 ","224.475,00"
KREMBERK,4-sobno,3,2008,"80,50 ","89.900,00"
LENART V SLOVENSKIH GORICAH,2-sobno,1,1830,"58,83 ","119.900,00"
LENART V SLOVENSKIH GORICAH,2-sobno,1,2015,"60,00 ","115.000,00"
LENART V SLOVENSKIH GORICAH,"2,5-sobno",P,1983,"77,90 ","85.690,00"
LENART V SLOVENSKIH GORICAH,3-sobno,3,2021,"89,50 ","141.829,88"
LENART V SLOVENSKIH GORICAH,4-sobno,3,2021,"105,47 ","162.401,00"
LENART V SLOVENSKIH GORICAH,"4,5-sobno",4,2021,"157,61 ","222.479,91"
LENART V SLOVENSKIH GORICAH,5 in večsobno,4,2007,"238,00 ","260.000,00"
LIMBUŠ,2-sobno,P,1920,"61,60 ","90.000,00"
LIMBUŠ,4-sobno,1,1977,"91,70 ","134.900,00 &euro;<span class=""cena-old"">137.900,00"
LOVRENC NA POHORJU,3-sobno,3,2010,"100,30 ","150.000,00"
MARIBOR,"1,5-sobno",P,2021,"65,40 ","154.564,73"
MARIBOR,3-sobno,5,1967,"66,20 ","179.000,00"
MARIBOR,2-sobno,P,1986,"73,50 ","145.000,00"
MARIBOR,3-sobno,4,1964,"75,90 ","155.000,00"
"MARIBOR, LIMBUŠ","2,5-sobno",2,1956,"56,70 ","79.990,00"
"MARIBOR, MAGDALENA",2-sobno,1,2007,"65,20 ","97.000,00"
"MARIBOR, MELJE",2-sobno,1,1949,"50,10 ","52.000,00"
"MARIBOR, STUDENCI",Garsonjera,PK,2010,"16,00 ","37.000,00"
"MARIBOR, ŠENTILJSKA CESTA 23",2-sobno,1,1930,"71,00 ","65.000,00"
"MARIBOR, TABOR",1-sobno,3,1973,"41,40 ","222.200,00"
"MARIBOR, TABOR",2-sobno,P,1880,"58,50 ","115.000,00"
"MARIBOR, TABOR",4-sobno,P,1880,"115,00 ","179.000,00"
"MARIBOR, TITOVA CESTA",2-sobno,P+1,1935,"361,70 ","145.000,00"
MB - CENTER,2-sobno,3,1962,"46,90 ","99.900,00"
MB - CENTER,1-sobno,3,1935,"52,40 ","89.000,00"
MB - CENTER,Garsonjera,1,1900,"60,10 ","49.000,00"
MB - CENTER,1-sobno,M,1900,"60,10 ","42.500,00 &euro;<span class=""cena-old"">49.900,00"
"BETNAVA, OB BETNAVSKEM GOZDU",3-sobno,4,2008,"88,10 ","217.000,00"
KOŠAKI,4-sobno,1,2021,"103,00 ","198.900,00"
"LENART V SLOVENSKIH GORICAH, IZJEMNO SONČNO IN SVETLO",4-sobno,3,2014,"114,10 ","197.500,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"77,37 ","215.538,71"
"POBREŽJE, GREENWICH",2-sobno,4,1960,"53,50 ","92.900,00"
"TABOR, PENTHOUSE",5 in večsobno,5,2021,"560,00 ","1.000.000,00"
ZGORNJE RADVANJE,"4,5-sobno",3,2002,"270,20 ","380.000,00"
BENEDIKT,2-sobno,M,2008,"68,44 ","79.000,00"
BETNAVA,"2,5-sobno",7,2010,"69,00 ","175.000,00"
BETNAVA,3-sobno,5,2000,"102,10 ","149.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
"BETNAVA, MARIBOR","3,5-sobno",P,2010,"123,00 ","290.000,00"
BOROVA VAS,2-sobno,6,1989,"55,60 ","125.000,00"
BREZJE,1-sobno,P,2006,"41,20 ","104.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","78.000,00"
GRADIŠKA,4-sobno,3,2021,"136,60 ","217.036,00"
KAMNICA,Garsonjera,VP,1939,"51,00 ","44.900,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"BETNAVA, OB BETNAVSKEM GOZDU",3-sobno,4,2008,"88,10 ","217.000,00"
KOŠAKI,4-sobno,1,2021,"103,00 ","198.900,00"
"LENART V SLOVENSKIH GORICAH, IZJEMNO SONČNO IN SVETLO",4-sobno,3,2014,"114,10 ","197.500,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"77,37 ","215.538,71"
"POBREŽJE, GREENWICH",2-sobno,4,1960,"53,50 ","92.900,00"
"TABOR, PENTHOUSE",5 in večsobno,5,2021,"560,00 ","1.000.000,00"
ZGORNJE RADVANJE,"4,5-sobno",3,2002,"270,20 ","380.000,00"
BENEDIKT,2-sobno,M,2008,"68,44 ","79.000,00"
BETNAVA,"2,5-sobno",7,2010,"69,00 ","175.000,00"
BETNAVA,3-sobno,5,2000,"102,10 ","149.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
"BETNAVA, MARIBOR","3,5-sobno",P,2010,"123,00 ","290.000,00"
BOROVA VAS,2-sobno,6,1989,"55,60 ","125.000,00"
BREZJE,1-sobno,P,2006,"41,20 ","104.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","78.000,00"
GRADIŠKA,4-sobno,3,2021,"136,60 ","217.036,00"
KAMNICA,Garsonjera,VP,1939,"51,00 ","44.900,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
KIDRIČEVO,3-sobno,VP,1954,"105,40 ","110.000,00"
