lokacija,sobno,nadstropje,leto,velikost,cena
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,14 ","380.000,00"
KAMNIK,1-sobno,3,1973,"40,50 ","120.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2007,"77,20 ","257.000,00"
"BOROVNICA, ZALARJEVA C.",5 in večsobno,1,1833,"121,20 ","185.000,00"
"BOROVNICA, ZALARJEVA C.",4-sobno,1,1833,"121,20 ","185.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,50 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,M,2022,"106,60 ","400.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,10 ","489.000,00"
DEPALA VAS,2-sobno,VP,1959,"40,00 ","126.000,00"
DOB,4-sobno,P,2008,"78,52 ","295.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,1-sobno,3,1964,"31,00 ","125.000,00"
DOMŽALE,"1,5-sobno",5,1970,"46,80 ","134.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,14 ","380.000,00"
KAMNIK,1-sobno,3,1973,"40,50 ","120.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2007,"77,20 ","257.000,00"
"BOROVNICA, ZALARJEVA C.",5 in večsobno,1,1833,"121,20 ","185.000,00"
"BOROVNICA, ZALARJEVA C.",4-sobno,1,1833,"121,20 ","185.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,50 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,M,2022,"106,60 ","400.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,10 ","489.000,00"
DEPALA VAS,2-sobno,VP,1959,"40,00 ","126.000,00"
DOB,4-sobno,P,2008,"78,52 ","295.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,1-sobno,3,1964,"31,00 ","125.000,00"
DOMŽALE,"1,5-sobno",5,1970,"46,80 ","134.000,00"
DOMŽALE,3-sobno,VP,1962,"110,00 ","225.000,00"
DOMŽALE,5 in večsobno,1,1938,"184,80 ","359.000,00"
"DOMŽALE, LJUBLJANSKA CESTA","1,5-sobno",5,1970,"46,80 ","134.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","265.000,00"
"DOMŽALE, SAVSKA CESTA, CENTER","1,5-sobno",P,1905,"52,90 ","109.990,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
"DOMŽALE, ŠTUDA PRI DOMŽALAH","3,5-sobno",2,2004,"118,00 ","298.000,00"
"DRAGOMELJ, NASELJE NOVI",2-sobno,M,2006,"64,57 ","185.000,00"
DRENOV GRIČ,"3,5-sobno",1,2015,"71,00 ","145.000,00"
DUPLICA,1-sobno,PK,1983,"32,00 ","99.000,00"
DUPLICA,3-sobno,P,2000,"74,50 ","225.000,00"
"DUPLICA, ULICA MATIJE BLEJCA","1,5-sobno",1,1977,"45,00 ","160.000,00"
GMAJNICA,4-sobno,2,2009,"110,70 ","309.999,00"
GORIČANE,3-sobno,P,1898,"51,00 ","147.000,00"
GROSUPLJE,2-sobno,4,1983,"58,00 ","175.000,00"
GROSUPLJE,2-sobno,M,1964,"69,00 ","135.000,00"
GROSUPLJE,4-sobno,P,2006,"98,00 ","355.000,00"
GROSUPLJE,3-sobno,2,1931,"105,50 ","264.000,00"
GROSUPLJE,3-sobno,2,1909,"105,60 ","245.000,00"
GROSUPLJE,3-sobno,2,1910,"105,60 ","264.000,00"
GROSUPLJE,"3,5-sobno",2,1909,"105,60 ","264.000,00"
GROSUPLJE,3-sobno,2,2021,"115,00 ","245.000,00"
GROSUPLJE,3-sobno,2,1909,"115,00 ","245.000,00"
GROSUPLJE,"4,5-sobno",3,2006,"206,44 ","365.000,00"
"GROSUPLJE, BREZJE PRI GROSUPLJEM","3,5-sobno",P,2006,"129,30 ","319.000,00"
"GROSUPLJE, SONČNI DVORI, ATRIJ",Garsonjera,P,2006,"29,40 ","129.000,00"
"GROSUPLJE, ŠIRŠI OKOLIŠ - BRINJE",2-sobno,M,1964,"69,00 ","135.000,00"
"HORJUL, SLOVENSKA CESTA 7",4-sobno,2,1957,"97,10 ","189.000,00"
HRAŠE,3-sobno,2,1964,"49,30 ","141.000,00"
IG,2-sobno,3,1985,"58,00 ","210.000,00"
IG,4-sobno,1,1950,"130,20 ","245.000,00"
"IG, SULČJA ULICA",4-sobno,1,2004,"102,00 ","160.000,00"
IHAN,"3,5-sobno",P,1989,"83,00 ","149.990,00"
IVANČNA GORICA,2-sobno,P,2008,"41,61 ","185.000,00"
IVANČNA GORICA,4-sobno,4,2008,"81,00 ","220.000,00"
JEVNICA,"3,5-sobno",P,2012,"142,00 ","230.000,00"
KAMNIK,2-sobno,2,1998,"52,41 ","100.000,00"
KAMNIK,3-sobno,3,1975,"80,00 ","198.000,00"
KAMNIK,4-sobno,3,2003,"128,00 ","285.000,00"
KAMNIK,"4,5-sobno",P,2021,"140,80 ","349.000,00"
KAMNIK POD KRIMOM,2-sobno,1,1974,"68,00 ","99.000,00"
"KAMNIK, CENTER",4-sobno,3,2002,"128,00 ","285.000,00"
"KAMNIK, CENTER","3,5-sobno",3,2003,"128,10 ","285.000,00"
"KAMNIK, DUPLICA",3-sobno,PK,1982,"72,70 ","169.000,00"
"KAMNIK, DUPLICA",4-sobno,2,2021,"153,60 ","349.000,00"
"KAMNIK, LJUBLJANSKA CESTA","3,5-sobno",P,2007,"132,80 ","289.000,00"
"KAMNIK, VILLA ALPIK",4-sobno,2,2021,"168,80 ","349.000,00"
"KOMENDA, GMAJNICA, ŠMIDOV LOG",5 in večsobno,2,2009,"110,70 ","298.000,00"
KOŠIŠE,3-sobno,1,1947,"102,00 ","165.000,00"
LAVRICA,2-sobno,2,2009,"61,00 ","235.000,00"
LITIJA,2-sobno,P,1890,"70,00 ","75.000,00"
"LITIJA, CENTER","2,5-sobno",2,1981,"64,97 ","135.000,00"
"LITIJA, TRG NA STAVBAH","2,5-sobno",VP,1936,"57,80 ","129.000,00"
LOG PRI BREZOVICI,4-sobno,M,2006,"100,00 ","209.000,00"
"LOGATEC, BLIZU CENTRA",4-sobno,4,1985,"89,60 ","189.000,00"
"LOGATEC, CENTER",4-sobno,2,2012,"113,00 ","168.000,00"
LUKOVICA PRI DOMŽALAH,1-sobno,2,1978,"45,00 ","140.000,00"
MALA KOSTREVNICA,"1,5-sobno",VP,1917,"34,60 ","78.000,00"
MALA KOSTREVNICA,2-sobno,P,1917,"56,00 ","69.000,00"
MALO HUDO,3-sobno,1,1940,"116,90 ","179.000,00"
MEDVODE,4-sobno,P+1,1948,"96,70 ","165.000,00"
MEDVODE,3-sobno,P,2010,"102,00 ","350.000,00"
MEDVODE,3-sobno,VP,2019,"156,70 ","558.831,00"
MEDVODE,3-sobno,1,2019,"163,80 ","585.442,00"
MEDVODE,3-sobno,VP,2019,"164,30 ","583.648,00"
MEDVODE,3-sobno,2,2019,"331,70 ","1.096.443,00"
"MEDVODE, CESTA KOMANDANTA STANETA",2-sobno,1,1907,"106,00 ","169.000,00"
"MEDVODE, PRESKA",3-sobno,2,2019,"331,70 ","1.096.443,00"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",3-sobno,P,2019,"156,70 ","681.774,00"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",3-sobno,1,2019,"163,80 ","714.240,00"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",3-sobno,P,2019,"164,30 ","712.050,56"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",5 in večsobno,2,2019,"331,00 ","1.337.660,00"
MENGEŠ,3-sobno,P,1930,"154,80 ","120.000,00"
MOSTE,2-sobno,P,1990,"50,80 ","159.000,00"
MOSTE,3-sobno,1,1990,"88,80 ","289.000,00"
NOTRANJE GORICE,5 in večsobno,K+P,1997,"195,77 ","330.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,1,2022,"123,20 ","265.000,00"
POLICA,4-sobno,1,2022,"123,20 ","265.000,00"
POLICA,4-sobno,1,2022,"124,50 ","265.000,00"
POLICA,4-sobno,P,2021,"128,50 ","265.000,00"
"RADOHOVA VAS, STUDENEC",2-sobno,P,2010,"36,00 ","185.000,00"
RADOMLJE,"1,5-sobno",P,1975,"45,00 ","159.900,00"
RADOMLJE,"1,5-sobno",P,1975,"45,00 ","159.900,00"
RADOMLJE,4-sobno,2,2001,"93,00 ","255.000,00"
RADOMLJE,3-sobno,4,2000,"107,50 ","260.000,00"
RADOMLJE,Drugo,2,2000,"107,50 ","254.500,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,14 ","380.000,00"
KAMNIK,1-sobno,3,1973,"40,50 ","120.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2007,"77,20 ","257.000,00"
"BOROVNICA, ZALARJEVA C.",5 in večsobno,1,1833,"121,20 ","185.000,00"
"BOROVNICA, ZALARJEVA C.",4-sobno,1,1833,"121,20 ","185.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,50 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,M,2022,"106,60 ","400.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,10 ","489.000,00"
DEPALA VAS,2-sobno,VP,1959,"40,00 ","126.000,00"
DOB,4-sobno,P,2008,"78,52 ","295.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,1-sobno,3,1964,"31,00 ","125.000,00"
DOMŽALE,"1,5-sobno",5,1970,"46,80 ","134.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,14 ","380.000,00"
KAMNIK,1-sobno,3,1973,"40,50 ","120.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2007,"77,20 ","257.000,00"
"BOROVNICA, ZALARJEVA C.",5 in večsobno,1,1833,"121,20 ","185.000,00"
"BOROVNICA, ZALARJEVA C.",4-sobno,1,1833,"121,20 ","185.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,50 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,M,2022,"106,60 ","400.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,10 ","489.000,00"
DEPALA VAS,2-sobno,VP,1959,"40,00 ","126.000,00"
DOB,4-sobno,P,2008,"78,52 ","295.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,1-sobno,3,1964,"31,00 ","125.000,00"
DOMŽALE,"1,5-sobno",5,1970,"46,80 ","134.000,00"
DOMŽALE,3-sobno,VP,1962,"110,00 ","225.000,00"
DOMŽALE,5 in večsobno,1,1938,"184,80 ","359.000,00"
"DOMŽALE, LJUBLJANSKA CESTA","1,5-sobno",5,1970,"46,80 ","134.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","265.000,00"
"DOMŽALE, SAVSKA CESTA, CENTER","1,5-sobno",P,1905,"52,90 ","109.990,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
"DOMŽALE, ŠTUDA PRI DOMŽALAH","3,5-sobno",2,2004,"118,00 ","298.000,00"
"DRAGOMELJ, NASELJE NOVI",2-sobno,M,2006,"64,57 ","185.000,00"
DRENOV GRIČ,"3,5-sobno",1,2015,"71,00 ","145.000,00"
DUPLICA,1-sobno,PK,1983,"32,00 ","99.000,00"
DUPLICA,3-sobno,P,2000,"74,50 ","225.000,00"
"DUPLICA, ULICA MATIJE BLEJCA","1,5-sobno",1,1977,"45,00 ","160.000,00"
GMAJNICA,4-sobno,2,2009,"110,70 ","309.999,00"
GORIČANE,3-sobno,P,1898,"51,00 ","147.000,00"
GROSUPLJE,2-sobno,4,1983,"58,00 ","175.000,00"
GROSUPLJE,2-sobno,M,1964,"69,00 ","135.000,00"
GROSUPLJE,4-sobno,P,2006,"98,00 ","355.000,00"
GROSUPLJE,3-sobno,2,1931,"105,50 ","264.000,00"
GROSUPLJE,3-sobno,2,1909,"105,60 ","245.000,00"
GROSUPLJE,3-sobno,2,1910,"105,60 ","264.000,00"
GROSUPLJE,"3,5-sobno",2,1909,"105,60 ","264.000,00"
GROSUPLJE,3-sobno,2,2021,"115,00 ","245.000,00"
GROSUPLJE,3-sobno,2,1909,"115,00 ","245.000,00"
GROSUPLJE,"4,5-sobno",3,2006,"206,44 ","365.000,00"
"GROSUPLJE, BREZJE PRI GROSUPLJEM","3,5-sobno",P,2006,"129,30 ","319.000,00"
"GROSUPLJE, SONČNI DVORI, ATRIJ",Garsonjera,P,2006,"29,40 ","129.000,00"
"GROSUPLJE, ŠIRŠI OKOLIŠ - BRINJE",2-sobno,M,1964,"69,00 ","135.000,00"
"HORJUL, SLOVENSKA CESTA 7",4-sobno,2,1957,"97,10 ","189.000,00"
HRAŠE,3-sobno,2,1964,"49,30 ","141.000,00"
IG,2-sobno,3,1985,"58,00 ","210.000,00"
IG,4-sobno,1,1950,"130,20 ","245.000,00"
"IG, SULČJA ULICA",4-sobno,1,2004,"102,00 ","160.000,00"
IHAN,"3,5-sobno",P,1989,"83,00 ","149.990,00"
IVANČNA GORICA,2-sobno,P,2008,"41,61 ","185.000,00"
IVANČNA GORICA,4-sobno,4,2008,"81,00 ","220.000,00"
JEVNICA,"3,5-sobno",P,2012,"142,00 ","230.000,00"
KAMNIK,2-sobno,2,1998,"52,41 ","100.000,00"
KAMNIK,3-sobno,3,1975,"80,00 ","198.000,00"
KAMNIK,4-sobno,3,2003,"128,00 ","285.000,00"
KAMNIK,"4,5-sobno",P,2021,"140,80 ","349.000,00"
KAMNIK POD KRIMOM,2-sobno,1,1974,"68,00 ","99.000,00"
"KAMNIK, CENTER",4-sobno,3,2002,"128,00 ","285.000,00"
"KAMNIK, CENTER","3,5-sobno",3,2003,"128,10 ","285.000,00"
"KAMNIK, DUPLICA",3-sobno,PK,1982,"72,70 ","169.000,00"
"KAMNIK, DUPLICA",4-sobno,2,2021,"153,60 ","349.000,00"
"KAMNIK, LJUBLJANSKA CESTA","3,5-sobno",P,2007,"132,80 ","289.000,00"
"KAMNIK, VILLA ALPIK",4-sobno,2,2021,"168,80 ","349.000,00"
"KOMENDA, GMAJNICA, ŠMIDOV LOG",5 in večsobno,2,2009,"110,70 ","298.000,00"
KOŠIŠE,3-sobno,1,1947,"102,00 ","165.000,00"
LAVRICA,2-sobno,2,2009,"61,00 ","235.000,00"
LITIJA,2-sobno,P,1890,"70,00 ","75.000,00"
"LITIJA, CENTER","2,5-sobno",2,1981,"64,97 ","135.000,00"
"LITIJA, TRG NA STAVBAH","2,5-sobno",VP,1936,"57,80 ","129.000,00"
LOG PRI BREZOVICI,4-sobno,M,2006,"100,00 ","209.000,00"
"LOGATEC, BLIZU CENTRA",4-sobno,4,1985,"89,60 ","189.000,00"
"LOGATEC, CENTER",4-sobno,2,2012,"113,00 ","168.000,00"
LUKOVICA PRI DOMŽALAH,1-sobno,2,1978,"45,00 ","140.000,00"
MALA KOSTREVNICA,"1,5-sobno",VP,1917,"34,60 ","78.000,00"
MALA KOSTREVNICA,2-sobno,P,1917,"56,00 ","69.000,00"
MALO HUDO,3-sobno,1,1940,"116,90 ","179.000,00"
MEDVODE,4-sobno,P+1,1948,"96,70 ","165.000,00"
MEDVODE,3-sobno,P,2010,"102,00 ","350.000,00"
MEDVODE,3-sobno,VP,2019,"156,70 ","558.831,00"
MEDVODE,3-sobno,1,2019,"163,80 ","585.442,00"
MEDVODE,3-sobno,VP,2019,"164,30 ","583.648,00"
MEDVODE,3-sobno,2,2019,"331,70 ","1.096.443,00"
"MEDVODE, CESTA KOMANDANTA STANETA",2-sobno,1,1907,"106,00 ","169.000,00"
"MEDVODE, PRESKA",3-sobno,2,2019,"331,70 ","1.096.443,00"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",3-sobno,P,2019,"156,70 ","681.774,00"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",3-sobno,1,2019,"163,80 ","714.240,00"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",3-sobno,P,2019,"164,30 ","712.050,56"
"MEDVODE, VRHUNSKI RAZGLEDI, 3, 5 M VISOKI STROPI, PROSTORNE ...",5 in večsobno,2,2019,"331,00 ","1.337.660,00"
MENGEŠ,3-sobno,P,1930,"154,80 ","120.000,00"
MOSTE,2-sobno,P,1990,"50,80 ","159.000,00"
MOSTE,3-sobno,1,1990,"88,80 ","289.000,00"
NOTRANJE GORICE,5 in večsobno,K+P,1997,"195,77 ","330.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,P,2022,"119,30 ","265.000,00"
POLICA,4-sobno,1,2022,"123,20 ","265.000,00"
POLICA,4-sobno,1,2022,"123,20 ","265.000,00"
POLICA,4-sobno,1,2022,"124,50 ","265.000,00"
POLICA,4-sobno,P,2021,"128,50 ","265.000,00"
"RADOHOVA VAS, STUDENEC",2-sobno,P,2010,"36,00 ","185.000,00"
RADOMLJE,"1,5-sobno",P,1975,"45,00 ","159.900,00"
RADOMLJE,"1,5-sobno",P,1975,"45,00 ","159.900,00"
RADOMLJE,4-sobno,2,2001,"93,00 ","255.000,00"
RADOMLJE,3-sobno,4,2000,"107,50 ","260.000,00"
RADOMLJE,Drugo,2,2000,"107,50 ","254.500,00"
RADOMLJE,"3,5-sobno",2,2000,"107,50 ","246.500,00"
"RADOMLJE, CESTA BORCEV",3-sobno,2,2000,"107,50 ","254.500,00"
ŠKOFLJICA,3-sobno,1,1912,"129,90 ","235.000,00"
ŠKOFLJICA,3-sobno,1,1912,"129,90 ","235.000,00"
ŠKOFLJICA,4-sobno,2,2010,"139,00 ","280.000,00"
ŠKOFLJICA,"3,5-sobno",1,1912,"187,10 ","235.000,00"
"ŠKOFLJICA, OB POTOKU",3-sobno,3,2016,"85,60 ","350.000,00"
ŠMARJE - SAP,4-sobno,P,2001,"158,00 ","360.000,00"
TRZIN,Garsonjera,1,1997,"41,00 ","129.000,00"
TRZIN,1-sobno,1,1997,"41,00 ","130.000,00"
TRZIN,3-sobno,P,1997,"77,00 ","319.000,00"
TRZIN,"2,5-sobno",1,1997,"81,00 ","205.000,00"
TRZIN,4-sobno,1,2012,"266,00 ","570.000,00"
TRZIN,4-sobno,1,2012,"266,00 ","570.000,00"
TRZIN,4-sobno,1,2012,"267,40 ","570.000,00"
TRZIN,5 in večsobno,P,2012,"373,81 ","745.000,00"
TRZIN,4-sobno,P,2021,"408,00 ","745.000,00"
TRZIN,5 in večsobno,P,2021,"408,00 ","745.000,00"
VIŠNJA GORA,4-sobno,M,2018,"124,70 ","295.000,00"
VIŠNJA GORA,3-sobno,VP,2018,"165,30 ","350.000,00"
"VIŠNJA GORA, 2 STANOVANJI Z GARAŽAMA TER OGROMNO PARCELO",5 in večsobno,P+1,1982,"347,20 ","315.000,00"
