lokacija,sobno,nadstropje,leto,velikost,cena
NOVO MESTO,4-sobno,5,2023,"104,82 ","273.402,54"
ČRNOMELJ,2-sobno,4,1984,"62,00 ","50.000,00"
"ČRNOMELJ, CENTER",4-sobno,2,2014,"150,00 ","90.000,00"
"ČRNOMELJ, ULICA HEROJA STARIHA 12",2-sobno,1,1950,"69,84 ","52.000,00"
DOLENJA VAS,2-sobno,P,1900,"62,00 ","64.000,00"
DOLENJE MOKRO POLJE,2-sobno,P,1998,"61,00 ","72.000,00"
DOLENJE PONIKVE,3-sobno,1,2021,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2021,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KOČEVJE,3-sobno,4,1986,"74,70 ","75.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, CENTER","1,5-sobno",1,1963,"51,00 ","60.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"47,00 ","45.000,00"
"KOČEVJE, OB RINŽI",3-sobno,4,2017,"64,93 ","129.990,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,3-sobno,1,2021,"83,40 ","165.132,00"
NOVO MESTO,3-sobno,2,2023,"90,68 ","207.332,50"
NOVO MESTO,4-sobno,5,2023,"104,82 ","273.402,54"
ČRNOMELJ,2-sobno,4,1984,"62,00 ","50.000,00"
"ČRNOMELJ, CENTER",4-sobno,2,2014,"150,00 ","90.000,00"
"ČRNOMELJ, ULICA HEROJA STARIHA 12",2-sobno,1,1950,"69,84 ","52.000,00"
DOLENJA VAS,2-sobno,P,1900,"62,00 ","64.000,00"
DOLENJE MOKRO POLJE,2-sobno,P,1998,"61,00 ","72.000,00"
DOLENJE PONIKVE,3-sobno,1,2021,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2021,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KOČEVJE,3-sobno,4,1986,"74,70 ","75.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, CENTER","1,5-sobno",1,1963,"51,00 ","60.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"47,00 ","45.000,00"
"KOČEVJE, OB RINŽI",3-sobno,4,2017,"64,93 ","129.990,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,1-sobno,1,1981,"38,00 ","79.000,00"
MIRNA,2-sobno,4,1989,"70,00 ","110.000,00"
MIRNA,3-sobno,2,2021,"84,40 ","165.132,00"
MIRNA,3-sobno,2,2021,"84,70 ","167.706,00"
MIRNA,3-sobno,3,2021,"84,80 ","167.904,00"
MLAKA PRI KOČEVJU,3-sobno,P,1924,"67,50 ","75.000,00"
MOKRONOG,"1,5-sobno",P,1880,"43,00 ","37.000,00"
"MOKRONOG, CENTER","2,5-sobno",1,1880,"65,50 ","48.000,00"
"MOKRONOG, CENTER",2-sobno,P,1844,"112,00 ","79.000,00"
NOVO MESTO,2-sobno,1,1978,"51,20 ","110.000,00"
NOVO MESTO,2-sobno,2,1964,"52,00 ","115.000,00"
NOVO MESTO,"3,5-sobno",4,1953,"103,60 ","173.000,00"
"NOVO MESTO, CENTER",2-sobno,1,2002,"69,70 ","100.000,00"
"NOVO MESTO, GOTNA VAS","3,5-sobno",M,1965,"102,20 ","139.000,00"
"NOVO MESTO, MESTNE NJIVE",2-sobno,4,1964,"46,90 ","118.000,00"
"NOVO MESTO, OKOLICA",2-sobno,M,2021,"54,30 ","98.000,00"
"NOVO MESTO, OKOLICA",2-sobno,M,2021,"58,30 ","105.000,00"
"NOVO MESTO, PODBREZNIK 106","2,5-sobno",2,2007,"86,10 ","205.000,00"
"NOVO MESTO, RAGOVSKA ULICA",3-sobno,2,1965,"66,40 ","137.000,00"
"NOVO MESTO, ŠEGOVA ULICA","1,5-sobno",4,1982,"51,00 ","92.000,00"
"NOVO MESTO, TRDINOVA ULICA",2-sobno,1,1965,"53,70 ","95.000,00"
"NOVO MESTO, TRDINOVA ULICA",2-sobno,P,1963,"57,90 ","169.000,00"
"RAJNDOL, PRI KOČEVJU",4-sobno,P,1952,"86,70 ","60.000,00"
ROŽNI DOL,5 in večsobno,VP,1914,"128,00 ","85.000,00"
SLOVENSKA VAS,1-sobno,K,1965,"50,00 ","98.000,00"
